"","County","...2","Year","rate_per_1k_women_15-19"
"137","Black Hawk","Live Birth Rate","2016",7.65828928918132
"138","Black Hawk","Live Birth Rate","2017",8.15450643776824
"139","Black Hawk","Live Birth Rate","2018",7.29362360481821
"140","Black Hawk","Live Birth Rate","2019",8.48320325755005
"141","Boone","Live Birth Rate","2000",9.80392156862745
"142","Boone","Live Birth Rate","2001",13.290802764487
"143","Boone","Live Birth Rate","2002",9.45494994438265
"144","Boone","Live Birth Rate","2003",16.1290322580645
"145","Boone","Live Birth Rate","2004",8.70038064165307
"146","Boone","Live Birth Rate","2005",13.8077535847053
"147","Boone","Live Birth Rate","2006",13.8740661686233
"148","Boone","Live Birth Rate","2007",15.1926207270754
"149","Boone","Live Birth Rate","2008",15.0166852057842
"150","Boone","Live Birth Rate","2009",16.1104718066743
"151","Boone","Live Birth Rate","2010",8.61604738826064
"152","Boone","Live Birth Rate","2011",11.1358574610245
"153","Boone","Live Birth Rate","2012",12.1816168327796
"154","Boone","Live Birth Rate","2013",5.42005420054201
"155","Boone","Live Birth Rate","2014",8.72410032715376
"156","Boone","Live Birth Rate","2015",6.67037242912729
"157","Boone","Live Birth Rate","2016",6.28212450028555
"158","Boone","Live Birth Rate","2017",2.96912114014252
"159","Boone","Live Birth Rate","2018",5.50795593635251
"160","Boone","Live Birth Rate","2019",6.93131695022054
"161","Bremer","Live Birth Rate","2000",7.35970561177553
"162","Bremer","Live Birth Rate","2001",5.04124656278643
"163","Bremer","Live Birth Rate","2002",4.73260766682442
"164","Bremer","Live Birth Rate","2003",3.38818973862536
"165","Bremer","Live Birth Rate","2004",7.28155339805825
"166","Bremer","Live Birth Rate","2005",4.93096646942801
"167","Bremer","Live Birth Rate","2006",6.47410358565737
"168","Bremer","Live Birth Rate","2007",4.83091787439614
"169","Bremer","Live Birth Rate","2008",6.71462829736211
"170","Bremer","Live Birth Rate","2009",7.27802037845706
"171","Bremer","Live Birth Rate","2010",6.1262959472196
"172","Bremer","Live Birth Rate","2011",4.61041954817888
"173","Bremer","Live Birth Rate","2012",3.31910858226648
"174","Bremer","Live Birth Rate","2013",2.87631831255992
"175","Bremer","Live Birth Rate","2014",2.94117647058824
"176","Bremer","Live Birth Rate","2015",3.99201596806387
"177","Bremer","Live Birth Rate","2016",NA
"178","Bremer","Live Birth Rate","2017",2.51889168765743
"179","Bremer","Live Birth Rate","2018",NA
"180","Bremer","Live Birth Rate","2019",NA
"181","Buchanan","Live Birth Rate","2000",16.1290322580645
"182","Buchanan","Live Birth Rate","2001",9.78135788262371
"183","Buchanan","Live Birth Rate","2002",9.79791794243723
"184","Buchanan","Live Birth Rate","2003",17.2413793103448
"185","Buchanan","Live Birth Rate","2004",14.3839899937461
"186","Buchanan","Live Birth Rate","2005",15.1994933502217
"187","Buchanan","Live Birth Rate","2006",9.03808908973531
"188","Buchanan","Live Birth Rate","2007",10.4302477183833
"189","Buchanan","Live Birth Rate","2008",15.6148340923878
"190","Buchanan","Live Birth Rate","2009",8.87372013651877
"191","Buchanan","Live Birth Rate","2010",13.4943181818182
"192","Buchanan","Live Birth Rate","2011",12.2655122655123
"193","Buchanan","Live Birth Rate","2012",9.55180014695077
"194","Buchanan","Live Birth Rate","2013",9.04295403165034
"195","Buchanan","Live Birth Rate","2014",5.88668138337013
"196","Buchanan","Live Birth Rate","2015",7.86275911365261
"197","Buchanan","Live Birth Rate","2016",5.02152080344333
"198","Buchanan","Live Birth Rate","2017",4.10677618069815
"199","Buchanan","Live Birth Rate","2018",5.45702592087312
"200","Buchanan","Live Birth Rate","2019",NA
"201","Buena Vista","Live Birth Rate","2000",17.8571428571429
"202","Buena Vista","Live Birth Rate","2001",15.1120375195414
"203","Buena Vista","Live Birth Rate","2002",12.9380053908356
"204","Buena Vista","Live Birth Rate","2003",15.881708652793
"205","Buena Vista","Live Birth Rate","2004",21.0759844703272
"206","Buena Vista","Live Birth Rate","2005",20.2133632790567
"207","Buena Vista","Live Birth Rate","2006",20.4894706886739
"208","Buena Vista","Live Birth Rate","2007",15.7526254375729
"209","Buena Vista","Live Birth Rate","2008",24.5040840140023
"210","Buena Vista","Live Birth Rate","2009",22.5385527876631
"211","Buena Vista","Live Birth Rate","2010",25.8620689655172
"212","Buena Vista","Live Birth Rate","2011",17.636684303351
"213","Buena Vista","Live Birth Rate","2012",24.4776119402985
"214","Buena Vista","Live Birth Rate","2013",17.1463563992652
"215","Buena Vista","Live Birth Rate","2014",19.4931773879142
"216","Buena Vista","Live Birth Rate","2015",13.4271099744246
"217","Buena Vista","Live Birth Rate","2016",12.4835742444152
"218","Buena Vista","Live Birth Rate","2017",10.2599179206566
"219","Buena Vista","Live Birth Rate","2018",11.134307585247
"220","Buena Vista","Live Birth Rate","2019",7.62300762300762
"221","Butler","Live Birth Rate","2000",10.9090909090909
"222","Butler","Live Birth Rate","2001",5.56586270871985
"223","Butler","Live Birth Rate","2002",12.8676470588235
"224","Butler","Live Birth Rate","2003",7.74443368828654
"225","Butler","Live Birth Rate","2004",11.605415860735
"226","Butler","Live Birth Rate","2005",17.1717171717172
"227","Butler","Live Birth Rate","2006",10.4058272632674
"228","Butler","Live Birth Rate","2007",10.7758620689655
"229","Butler","Live Birth Rate","2008",10.1010101010101
"230","Butler","Live Birth Rate","2009",11.6550116550117
"231","Butler","Live Birth Rate","2010",6.9284064665127
"232","Butler","Live Birth Rate","2011",5.54323725055432
"233","Butler","Live Birth Rate","2012",5.60538116591928
"234","Butler","Live Birth Rate","2013",7.77777777777778
"235","Butler","Live Birth Rate","2014",8.09248554913295
"236","Butler","Live Birth Rate","2015",5.75373993095512
"237","Butler","Live Birth Rate","2016",6.87285223367698
"238","Butler","Live Birth Rate","2017",NA
"239","Butler","Live Birth Rate","2018",5.96658711217184
"240","Butler","Live Birth Rate","2019",NA
"241","Calhoun","Live Birth Rate","2000",9.9626400996264
"242","Calhoun","Live Birth Rate","2001",16.3522012578616
"243","Calhoun","Live Birth Rate","2002",8.06451612903226
"244","Calhoun","Live Birth Rate","2003",9.61538461538462
"245","Calhoun","Live Birth Rate","2004",14.4092219020173
"246","Calhoun","Live Birth Rate","2005",17.725258493353
"247","Calhoun","Live Birth Rate","2006",12.3647604327666
"248","Calhoun","Live Birth Rate","2007",14.3540669856459
"249","Calhoun","Live Birth Rate","2008",8.26446280991736
"250","Calhoun","Live Birth Rate","2009",18.7393526405451
"251","Calhoun","Live Birth Rate","2010",18.2724252491694
"252","Calhoun","Live Birth Rate","2011",8.41750841750842
"253","Calhoun","Live Birth Rate","2012",12.1317157712305
"254","Calhoun","Live Birth Rate","2013",8.69565217391304
"255","Calhoun","Live Birth Rate","2014",NA
"256","Calhoun","Live Birth Rate","2015",11.090573012939
"257","Calhoun","Live Birth Rate","2016",10.8108108108108
"258","Calhoun","Live Birth Rate","2017",9.29368029739777
"259","Calhoun","Live Birth Rate","2018",NA
"260","Calhoun","Live Birth Rate","2019",NA
"261","Carroll","Live Birth Rate","2000",8.13953488372093
"262","Carroll","Live Birth Rate","2001",7.93650793650794
"263","Carroll","Live Birth Rate","2002",9.32400932400932
"264","Carroll","Live Birth Rate","2003",7.7243018419489
"265","Carroll","Live Birth Rate","2004",12.4766063630692
"266","Carroll","Live Birth Rate","2005",10.7391029690461
"267","Carroll","Live Birth Rate","2006",13.9072847682119
"268","Carroll","Live Birth Rate","2007",11.3941018766756
"269","Carroll","Live Birth Rate","2008",13.9762403913347
"270","Carroll","Live Birth Rate","2009",12.6050420168067
"271","Carroll","Live Birth Rate","2010",9.9361249112846
"272","Carroll","Live Birth Rate","2011",11.1265646731572
"273","Carroll","Live Birth Rate","2012",15.3621068032187
"274","Carroll","Live Birth Rate","2013",13.5644310474755
"275","Carroll","Live Birth Rate","2014",7.84929356357928
"276","Carroll","Live Birth Rate","2015",8.70253164556962
"277","Carroll","Live Birth Rate","2016",6.43604183427192
"278","Carroll","Live Birth Rate","2017",NA
"279","Carroll","Live Birth Rate","2018",NA
"280","Carroll","Live Birth Rate","2019",7.29335494327391
"281","Cass","Live Birth Rate","2000",12.1042830540037
"282","Cass","Live Birth Rate","2001",15.8878504672897
"283","Cass","Live Birth Rate","2002",15.2439024390244
"284","Cass","Live Birth Rate","2003",13.6268343815514
"285","Cass","Live Birth Rate","2004",5.51267916207277
"286","Cass","Live Birth Rate","2005",17.6211453744493
"287","Cass","Live Birth Rate","2006",14.0237324703344
"288","Cass","Live Birth Rate","2007",16.9851380042463
"289","Cass","Live Birth Rate","2008",22.6781857451404
"290","Cass","Live Birth Rate","2009",20.7650273224044
"291","Cass","Live Birth Rate","2010",24.7641509433962
"292","Cass","Live Birth Rate","2011",NA
"293","Cass","Live Birth Rate","2012",12.2699386503067
"294","Cass","Live Birth Rate","2013",13.9593908629442
"295","Cass","Live Birth Rate","2014",11.7801047120419
"296","Cass","Live Birth Rate","2015",7.72200772200772
"297","Cass","Live Birth Rate","2016",10.3225806451613
"298","Cass","Live Birth Rate","2017",13.1752305665349
"299","Cass","Live Birth Rate","2018",10.4575163398693
"300","Cass","Live Birth Rate","2019",NA
"301","Cedar","Live Birth Rate","2000",10.9729334308705
"302","Cedar","Live Birth Rate","2001",8.16629547141797
"303","Cedar","Live Birth Rate","2002",7.627765064836
"304","Cedar","Live Birth Rate","2003",5.66343042071197
"305","Cedar","Live Birth Rate","2004",11.7845117845118
"306","Cedar","Live Birth Rate","2005",8.61326442721792
"307","Cedar","Live Birth Rate","2006",10.7705053852527
"308","Cedar","Live Birth Rate","2007",9.25925925925926
"309","Cedar","Live Birth Rate","2008",9.00163666121113
"310","Cedar","Live Birth Rate","2009",8.21692686935086
"311","Cedar","Live Birth Rate","2010",8.74403815580286
"312","Cedar","Live Birth Rate","2011",4.71327572663001
"313","Cedar","Live Birth Rate","2012",7.27566693613581
"314","Cedar","Live Birth Rate","2013",6.67779632721202
"315","Cedar","Live Birth Rate","2014",9.35374149659864
"316","Cedar","Live Birth Rate","2015",6.81431005110733
"317","Cedar","Live Birth Rate","2016",5.11945392491468
"318","Cedar","Live Birth Rate","2017",4.30292598967298
"319","Cedar","Live Birth Rate","2018",NA
"320","Cedar","Live Birth Rate","2019",5.99828620394173
"321","Cerro Gordo","Live Birth Rate","2000",15.6161272004543
"322","Cerro Gordo","Live Birth Rate","2001",15.8067402326275
"323","Cerro Gordo","Live Birth Rate","2002",15.7504632489191
"324","Cerro Gordo","Live Birth Rate","2003",15.4476670870114
"325","Cerro Gordo","Live Birth Rate","2004",15.9505208333333
"326","Cerro Gordo","Live Birth Rate","2005",15.5320555188367
"327","Cerro Gordo","Live Birth Rate","2006",12.0240480961924
"328","Cerro Gordo","Live Birth Rate","2007",19.5417789757412
"329","Cerro Gordo","Live Birth Rate","2008",11.8323191345504
"330","Cerro Gordo","Live Birth Rate","2009",15.3009180550833
"331","Cerro Gordo","Live Birth Rate","2010",12.7345844504021
"332","Cerro Gordo","Live Birth Rate","2011",11.8673647469459
"333","Cerro Gordo","Live Birth Rate","2012",10.2115244347192
"334","Cerro Gordo","Live Birth Rate","2013",10.1389410439354
"335","Cerro Gordo","Live Birth Rate","2014",9.26283288305673
"336","Cerro Gordo","Live Birth Rate","2015",8.6716594402838
"337","Cerro Gordo","Live Birth Rate","2016",8.30367734282325
"338","Cerro Gordo","Live Birth Rate","2017",11.4715189873418
"339","Cerro Gordo","Live Birth Rate","2018",8.10044552450385
"340","Cerro Gordo","Live Birth Rate","2019",5.40091400083091
"341","Cherokee","Live Birth Rate","2000",13.9720558882236
"342","Cherokee","Live Birth Rate","2001",5.01002004008016
"343","Cherokee","Live Birth Rate","2002",8.39454354669465
"344","Cherokee","Live Birth Rate","2003",12.9032258064516
"345","Cherokee","Live Birth Rate","2004",15.9066808059385
"346","Cherokee","Live Birth Rate","2005",8.87902330743618
"347","Cherokee","Live Birth Rate","2006",14.9942329873126
"348","Cherokee","Live Birth Rate","2007",17.921146953405
"349","Cherokee","Live Birth Rate","2008",13.715710723192
"350","Cherokee","Live Birth Rate","2009",13.1578947368421
"351","Cherokee","Live Birth Rate","2010",10.8548168249661
"352","Cherokee","Live Birth Rate","2011",15.0068212824011
"353","Cherokee","Live Birth Rate","2012",14.5772594752187
"354","Cherokee","Live Birth Rate","2013",14.8809523809524
"355","Cherokee","Live Birth Rate","2014",23.4741784037559
"356","Cherokee","Live Birth Rate","2015",9.98336106489185
"357","Cherokee","Live Birth Rate","2016",9.75609756097561
"358","Cherokee","Live Birth Rate","2017",11.6279069767442
"359","Cherokee","Live Birth Rate","2018",13.4003350083752
"360","Cherokee","Live Birth Rate","2019",8.56164383561644
"361","Chickasaw","Live Birth Rate","2000",13.738959764475
"362","Chickasaw","Live Birth Rate","2001",6.61000944287063
"363","Chickasaw","Live Birth Rate","2002",13.184584178499
"364","Chickasaw","Live Birth Rate","2003",8.46560846560847
"365","Chickasaw","Live Birth Rate","2004",13.9484978540773
"366","Chickasaw","Live Birth Rate","2005",8.69565217391304
"367","Chickasaw","Live Birth Rate","2006",8.65800865800866
"368","Chickasaw","Live Birth Rate","2007",11.0741971207087
"369","Chickasaw","Live Birth Rate","2008",10.3448275862069
"370","Chickasaw","Live Birth Rate","2009",9.20598388952819
"371","Chickasaw","Live Birth Rate","2010",9.51248513674197
"372","Chickasaw","Live Birth Rate","2011",7.10059171597633
"373","Chickasaw","Live Birth Rate","2012",6.11246943765281
"374","Chickasaw","Live Birth Rate","2013",7.4719800747198
"375","Chickasaw","Live Birth Rate","2014",6.55307994757536
"376","Chickasaw","Live Birth Rate","2015",NA
"377","Chickasaw","Live Birth Rate","2016",NA
"378","Chickasaw","Live Birth Rate","2017",NA
"379","Chickasaw","Live Birth Rate","2018",NA
"380","Chickasaw","Live Birth Rate","2019",NA
"381","Clarke","Live Birth Rate","2000",24.4252873563218
"382","Clarke","Live Birth Rate","2001",21.3068181818182
"383","Clarke","Live Birth Rate","2002",25.531914893617
"384","Clarke","Live Birth Rate","2003",28.6532951289398
"385","Clarke","Live Birth Rate","2004",19.2307692307692
"386","Clarke","Live Birth Rate","2005",23.2198142414861
"387","Clarke","Live Birth Rate","2006",17.4050632911392
"388","Clarke","Live Birth Rate","2007",36.2438220757825
"389","Clarke","Live Birth Rate","2008",28.1923714759536
"390","Clarke","Live Birth Rate","2009",29.1095890410959
"391","Clarke","Live Birth Rate","2010",23.0263157894737
"392","Clarke","Live Birth Rate","2011",28.2392026578073
"393","Clarke","Live Birth Rate","2012",20.1680672268908
"394","Clarke","Live Birth Rate","2013",13.840830449827
"395","Clarke","Live Birth Rate","2014",14.2348754448399
"396","Clarke","Live Birth Rate","2015",21.5827338129496
"397","Clarke","Live Birth Rate","2016",17.8890876565295
"398","Clarke","Live Birth Rate","2017",10.8695652173913
"399","Clarke","Live Birth Rate","2018",8.66551126516464
"400","Clarke","Live Birth Rate","2019",13.3779264214047
"401","Clay","Live Birth Rate","2000",13.8662316476346
"402","Clay","Live Birth Rate","2001",16.7464114832536
"403","Clay","Live Birth Rate","2002",10.989010989011
"404","Clay","Live Birth Rate","2003",13.6752136752137
"405","Clay","Live Birth Rate","2004",12.205754141238
"406","Clay","Live Birth Rate","2005",14.1467727674624
"407","Clay","Live Birth Rate","2006",13.4892086330935
"408","Clay","Live Birth Rate","2007",10.7913669064748
"409","Clay","Live Birth Rate","2008",21.9178082191781
"410","Clay","Live Birth Rate","2009",20.7547169811321
"411","Clay","Live Birth Rate","2010",10.566762728146
"412","Clay","Live Birth Rate","2011",17.6817288801572
"413","Clay","Live Birth Rate","2012",15.4320987654321
"414","Clay","Live Birth Rate","2013",11.2244897959184
"415","Clay","Live Birth Rate","2014",11.1336032388664
"416","Clay","Live Birth Rate","2015",4.9800796812749
"417","Clay","Live Birth Rate","2016",NA
"418","Clay","Live Birth Rate","2017",5.30785562632696
"419","Clay","Live Birth Rate","2018",10.7181136120043
"420","Clay","Live Birth Rate","2019",10.8459869848156
"421","Clayton","Live Birth Rate","2000",9.31899641577061
"422","Clayton","Live Birth Rate","2001",8.42105263157895
"423","Clayton","Live Birth Rate","2002",11.1524163568773
"424","Clayton","Live Birth Rate","2003",9.90853658536585
"425","Clayton","Live Birth Rate","2004",6.31412786108919
"426","Clayton","Live Birth Rate","2005",7.02028081123245
"427","Clayton","Live Birth Rate","2006",9.74025974025974
"428","Clayton","Live Birth Rate","2007",6.49350649350649
"429","Clayton","Live Birth Rate","2008",14.7179067865904
"430","Clayton","Live Birth Rate","2009",8.47457627118644
"431","Clayton","Live Birth Rate","2010",8.7260034904014
"432","Clayton","Live Birth Rate","2011",8.84955752212389
"433","Clayton","Live Birth Rate","2012",9.1324200913242
"434","Clayton","Live Birth Rate","2013",NA
"435","Clayton","Live Birth Rate","2014",11.1835973904939
"436","Clayton","Live Birth Rate","2015",7.59734093067426
"437","Clayton","Live Birth Rate","2016",NA
"438","Clayton","Live Birth Rate","2017",5.84795321637427
"439","Clayton","Live Birth Rate","2018",5.10204081632653
"440","Clayton","Live Birth Rate","2019",NA
"441","Clinton","Live Birth Rate","2000",19.3600430223178
"442","Clinton","Live Birth Rate","2001",19.0891737114808
"443","Clinton","Live Birth Rate","2002",22.6383454443823
"444","Clinton","Live Birth Rate","2003",18.8308038223721
"445","Clinton","Live Birth Rate","2004",15.1218146177541
"446","Clinton","Live Birth Rate","2005",20.0621644532354
"447","Clinton","Live Birth Rate","2006",24.1726618705036
"448","Clinton","Live Birth Rate","2007",23.7819025522042
"449","Clinton","Live Birth Rate","2008",22.305909617613
"450","Clinton","Live Birth Rate","2009",18.8453484893808
"451","Clinton","Live Birth Rate","2010",24.4860943168077
"452","Clinton","Live Birth Rate","2011",19.0217391304348
"453","Clinton","Live Birth Rate","2012",16.4089618176081
"454","Clinton","Live Birth Rate","2013",15.2646963299773
"455","Clinton","Live Birth Rate","2014",17.5097276264591
"456","Clinton","Live Birth Rate","2015",16.7158308751229
"457","Clinton","Live Birth Rate","2016",15.2181264795401
"458","Clinton","Live Birth Rate","2017",11.2016293279022
"459","Clinton","Live Birth Rate","2018",8.44772967265047
"460","Clinton","Live Birth Rate","2019",13.8232084394325
"461","Crawford","Live Birth Rate","2000",16.8539325842697
"462","Crawford","Live Birth Rate","2001",17.6991150442478
"463","Crawford","Live Birth Rate","2002",13.0494505494505
"464","Crawford","Live Birth Rate","2003",18.8811188811189
"465","Crawford","Live Birth Rate","2004",22.0841959972395
"466","Crawford","Live Birth Rate","2005",12.6760563380282
"467","Crawford","Live Birth Rate","2006",12.7208480565371
"468","Crawford","Live Birth Rate","2007",17.0333569907736
"469","Crawford","Live Birth Rate","2008",19.0755685986794
"470","Crawford","Live Birth Rate","2009",17.4374526156179
"471","Crawford","Live Birth Rate","2010",23.3433734939759
"472","Crawford","Live Birth Rate","2011",18.5873605947955
"473","Crawford","Live Birth Rate","2012",19.7568389057751
"474","Crawford","Live Birth Rate","2013",17.4772036474164
"475","Crawford","Live Birth Rate","2014",15.6985871271586
"476","Crawford","Live Birth Rate","2015",9.55414012738853
"477","Crawford","Live Birth Rate","2016",16.7197452229299
"478","Crawford","Live Birth Rate","2017",8.81410256410256
"479","Crawford","Live Birth Rate","2018",9.75609756097561
"480","Crawford","Live Birth Rate","2019",6.519967400163
"481","Dallas","Live Birth Rate","2000",11.1809923130678
"482","Dallas","Live Birth Rate","2001",12.0805369127517
"483","Dallas","Live Birth Rate","2002",8.66955651883961
"484","Dallas","Live Birth Rate","2003",10.259698621353
"485","Dallas","Live Birth Rate","2004",13.9771283354511
"486","Dallas","Live Birth Rate","2005",11.2994350282486
"487","Dallas","Live Birth Rate","2006",14.6296860713197
"488","Dallas","Live Birth Rate","2007",11.6144018583043
"489","Dallas","Live Birth Rate","2008",10.587907495124
"490","Dallas","Live Birth Rate","2009",9.84952120383037
"491","Dallas","Live Birth Rate","2010",6.68627975394491
"492","Dallas","Live Birth Rate","2011",7.04738760631835
"493","Dallas","Live Birth Rate","2012",9.09302867801352
"494","Dallas","Live Birth Rate","2013",6.47899910634495
"495","Dallas","Live Birth Rate","2014",6.74678473539954
"496","Dallas","Live Birth Rate","2015",4.14855788225998
"497","Dallas","Live Birth Rate","2016",4.53001132502831
"498","Dallas","Live Birth Rate","2017",3.94831299353912
"499","Dallas","Live Birth Rate","2018",5.27611677805135
"500","Dallas","Live Birth Rate","2019",3.26236263736264
"501","Davis","Live Birth Rate","2000",18.6335403726708
"502","Davis","Live Birth Rate","2001",15.3374233128834
"503","Davis","Live Birth Rate","2002",10.4633781763827
"504","Davis","Live Birth Rate","2003",7.73993808049536
