"","fips","county","year","provider_type","age","cost_average_per_week","cost"
"112",19015,"Boone",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$138.03",138.03
"113",19017,"Bremer",2020,"Registered Child Development Homes","Infant (0-12 Months)","$142.20",142.2
"114",19017,"Bremer",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$243.00",243
"115",19017,"Bremer",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$135.00",135
"116",19017,"Bremer",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$243.00",243
"117",19017,"Bremer",2020,"Registered Child Development Homes","Two Year Olds","$135.00",135
"118",19017,"Bremer",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$231.75",231.75
"119",19017,"Bremer",2020,"Registered Child Development Homes","Three Year Olds","$135.00",135
"120",19017,"Bremer",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$178.65",178.65
"121",19017,"Bremer",2020,"Registered Child Development Homes","Four & Five Year Olds","$135.00",135
"122",19017,"Bremer",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$178.65",178.65
"123",19017,"Bremer",2020,"Registered Child Development Homes","Before & After School","$55.00",55
"124",19017,"Bremer",2020,"DHS Licensed Centers/Preschools","Before & After School","$73.00",73
"125",19017,"Bremer",2020,"Registered Child Development Homes","Full Time School-Age","$123.75",123.75
"126",19017,"Bremer",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$184.50",184.5
"127",19019,"Buchanan",2020,"Registered Child Development Homes","Infant (0-12 Months)","$136.80",136.8
"128",19019,"Buchanan",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$154.80",154.8
"129",19019,"Buchanan",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$136.80",136.8
"130",19019,"Buchanan",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$154.80",154.8
"131",19019,"Buchanan",2020,"Registered Child Development Homes","Two Year Olds","$136.80",136.8
"132",19019,"Buchanan",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$148.05",148.05
"133",19019,"Buchanan",2020,"Registered Child Development Homes","Three Year Olds","$136.80",136.8
"134",19019,"Buchanan",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$145.80",145.8
"135",19019,"Buchanan",2020,"Registered Child Development Homes","Four & Five Year Olds","$136.80",136.8
"136",19019,"Buchanan",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$145.80",145.8
"137",19019,"Buchanan",2020,"Registered Child Development Homes","Before & After School","$60.80",60.8
"138",19019,"Buchanan",2020,"DHS Licensed Centers/Preschools","Before & After School","$62.60",62.6
"139",19019,"Buchanan",2020,"Registered Child Development Homes","Full Time School-Age","$136.80",136.8
"140",19019,"Buchanan",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$135.90",135.9
"141",19021,"Buena Vista",2020,"Registered Child Development Homes","Infant (0-12 Months)","$142.65",142.65
"142",19021,"Buena Vista",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$168.75",168.75
"143",19021,"Buena Vista",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$142.65",142.65
"144",19021,"Buena Vista",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$165.00",165
"145",19021,"Buena Vista",2020,"Registered Child Development Homes","Two Year Olds","$142.65",142.65
"146",19021,"Buena Vista",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$153.75",153.75
"147",19021,"Buena Vista",2020,"Registered Child Development Homes","Three Year Olds","$142.65",142.65
"148",19021,"Buena Vista",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$153.75",153.75
"149",19021,"Buena Vista",2020,"Registered Child Development Homes","Four & Five Year Olds","$142.65",142.65
"150",19021,"Buena Vista",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$157.50",157.5
"151",19021,"Buena Vista",2020,"Registered Child Development Homes","Before & After School","$63.40",63.4
"152",19021,"Buena Vista",2020,"DHS Licensed Centers/Preschools","Before & After School","$70.00",70
"153",19021,"Buena Vista",2020,"Registered Child Development Homes","Full Time School-Age","$120.15",120.15
"154",19021,"Buena Vista",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$157.50",157.5
"155",19023,"Butler",2020,"Registered Child Development Homes","Infant (0-12 Months)","$142.65",142.65
"156",19023,"Butler",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$170.10",170.1
"157",19023,"Butler",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$142.65",142.65
"158",19023,"Butler",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$170.10",170.1
"159",19023,"Butler",2020,"Registered Child Development Homes","Two Year Olds","$142.65",142.65
"160",19023,"Butler",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$161.10",161.1
"161",19023,"Butler",2020,"Registered Child Development Homes","Three Year Olds","$142.65",142.65
"162",19023,"Butler",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$152.10",152.1
"163",19023,"Butler",2020,"Registered Child Development Homes","Four & Five Year Olds","$142.65",142.65
"164",19023,"Butler",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$152.10",152.1
"165",19023,"Butler",2020,"Registered Child Development Homes","Before & After School","$47.60",47.6
"166",19023,"Butler",2020,"DHS Licensed Centers/Preschools","Before & After School","$67.60",67.6
"167",19023,"Butler",2020,"Registered Child Development Homes","Full Time School-Age","$107.10",107.1
"168",19023,"Butler",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$152.10",152.1
"169",19025,"Calhoun",2020,"Registered Child Development Homes","Infant (0-12 Months)","$157.00",157
"170",19025,"Calhoun",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$145.00",145
"171",19025,"Calhoun",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$157.00",157
"172",19025,"Calhoun",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$145.00",145
"173",19025,"Calhoun",2020,"Registered Child Development Homes","Two Year Olds","$135.00",135
"174",19025,"Calhoun",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$140.00",140
"175",19025,"Calhoun",2020,"Registered Child Development Homes","Three Year Olds","$135.00",135
"176",19025,"Calhoun",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$140.00",140
"177",19025,"Calhoun",2020,"Registered Child Development Homes","Four & Five Year Olds","$135.00",135
"178",19025,"Calhoun",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$137.50",137.5
"179",19025,"Calhoun",2020,"Registered Child Development Homes","Before & After School","$60.00",60
"180",19025,"Calhoun",2020,"DHS Licensed Centers/Preschools","Before & After School","$61.12",61.12
"181",19025,"Calhoun",2020,"Registered Child Development Homes","Full Time School-Age","$135.00",135
"182",19025,"Calhoun",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$137.50",137.5
"183",19027,"Carroll",2020,"Registered Child Development Homes","Infant (0-12 Months)","$139.09",139.09
"184",19027,"Carroll",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$164.50",164.5
"185",19027,"Carroll",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$138.46",138.46
"186",19027,"Carroll",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$164.50",164.5
"187",19027,"Carroll",2020,"Registered Child Development Homes","Two Year Olds","$138.46",138.46
"188",19027,"Carroll",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$156.69",156.69
"189",19027,"Carroll",2020,"Registered Child Development Homes","Three Year Olds","$138.46",138.46
"190",19027,"Carroll",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$156.69",156.69
"191",19027,"Carroll",2020,"Registered Child Development Homes","Four & Five Year Olds","$138.27",138.27
"192",19027,"Carroll",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$156.69",156.69
"193",19027,"Carroll",2020,"Registered Child Development Homes","Before & After School","$55.60",55.6
"194",19027,"Carroll",2020,"DHS Licensed Centers/Preschools","Before & After School","$58.05",58.05
"195",19027,"Carroll",2020,"Registered Child Development Homes","Full Time School-Age","$140.00",140
"196",19027,"Carroll",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$143.15",143.15
"197",19029,"Cass",2020,"Registered Child Development Homes","Infant (0-12 Months)","$133.60",133.6
"198",19029,"Cass",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$155.00",155
"199",19029,"Cass",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$133.60",133.6
"200",19029,"Cass",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$155.00",155
"201",19029,"Cass",2020,"Registered Child Development Homes","Two Year Olds","$133.60",133.6
"202",19029,"Cass",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$150.00",150
"203",19029,"Cass",2020,"Registered Child Development Homes","Three Year Olds","$133.60",133.6
"204",19029,"Cass",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$148.75",148.75
"205",19029,"Cass",2020,"Registered Child Development Homes","Four & Five Year Olds","$133.60",133.6
"206",19029,"Cass",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$144.75",144.75
"207",19029,"Cass",2020,"Registered Child Development Homes","Before & After School","$60.88",60.88
"208",19029,"Cass",2020,"DHS Licensed Centers/Preschools","Before & After School","$57.25",57.25
"209",19029,"Cass",2020,"Registered Child Development Homes","Full Time School-Age","$134.99",134.99
"210",19029,"Cass",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$117.08",117.08
"211",19031,"Cedar",2020,"Registered Child Development Homes","Infant (0-12 Months)","$131.25",131.25
"212",19031,"Cedar",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$171.67",171.67
"213",19031,"Cedar",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$131.25",131.25
"214",19031,"Cedar",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$171.67",171.67
"215",19031,"Cedar",2020,"Registered Child Development Homes","Two Year Olds","$131.25",131.25
"216",19031,"Cedar",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$165.17",165.17
"217",19031,"Cedar",2020,"Registered Child Development Homes","Three Year Olds","$131.25",131.25
"218",19031,"Cedar",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$160.83",160.83
"219",19031,"Cedar",2020,"Registered Child Development Homes","Four & Five Year Olds","$130.00",130
"220",19031,"Cedar",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$154.17",154.17
"221",19031,"Cedar",2020,"Registered Child Development Homes","Before & After School","$50.00",50
"222",19031,"Cedar",2020,"DHS Licensed Centers/Preschools","Before & After School","$66.50",66.5
"223",19031,"Cedar",2020,"Registered Child Development Homes","Full Time School-Age","$122.50",122.5
"224",19031,"Cedar",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$132.50",132.5
"225",19033,"Cerro Gordo",2020,"Registered Child Development Homes","Infant (0-12 Months)","$151.20",151.2
"226",19033,"Cerro Gordo",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$180.00",180
"227",19033,"Cerro Gordo",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$152.10",152.1
"228",19033,"Cerro Gordo",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$180.00",180
"229",19033,"Cerro Gordo",2020,"Registered Child Development Homes","Two Year Olds","$149.40",149.4
"230",19033,"Cerro Gordo",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$153.00",153
"231",19033,"Cerro Gordo",2020,"Registered Child Development Homes","Three Year Olds","$145.80",145.8
"232",19033,"Cerro Gordo",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$153.00",153
"233",19033,"Cerro Gordo",2020,"Registered Child Development Homes","Four & Five Year Olds","$144.90",144.9
"234",19033,"Cerro Gordo",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$153.00",153
"235",19033,"Cerro Gordo",2020,"Registered Child Development Homes","Before & After School","$71.80",71.8
"236",19033,"Cerro Gordo",2020,"DHS Licensed Centers/Preschools","Before & After School","$45.00",45
"237",19033,"Cerro Gordo",2020,"Registered Child Development Homes","Full Time School-Age","$144.45",144.45
"238",19033,"Cerro Gordo",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$153.00",153
"239",19035,"Cherokee",2020,"Registered Child Development Homes","Infant (0-12 Months)","$129.60",129.6
"240",19035,"Cherokee",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$161.00",161
"241",19035,"Cherokee",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$132.75",132.75
"242",19035,"Cherokee",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$161.00",161
"243",19035,"Cherokee",2020,"Registered Child Development Homes","Two Year Olds","$130.50",130.5
"244",19035,"Cherokee",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$148.13",148.13
"245",19035,"Cherokee",2020,"Registered Child Development Homes","Three Year Olds","$130.50",130.5
"246",19035,"Cherokee",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$143.13",143.13
"247",19035,"Cherokee",2020,"Registered Child Development Homes","Four & Five Year Olds","$130.50",130.5
"248",19035,"Cherokee",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$143.13",143.13
"249",19035,"Cherokee",2020,"Registered Child Development Homes","Before & After School","$58.00",58
"250",19035,"Cherokee",2020,"DHS Licensed Centers/Preschools","Before & After School","$63.61",63.61
"251",19035,"Cherokee",2020,"Registered Child Development Homes","Full Time School-Age","$128.25",128.25
"252",19035,"Cherokee",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$133.13",133.13
"253",19037,"Chickasaw",2020,"Registered Child Development Homes","Infant (0-12 Months)","$137.70",137.7
"254",19037,"Chickasaw",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)",NA,NA
"255",19037,"Chickasaw",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$137.70",137.7
"256",19037,"Chickasaw",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)",NA,NA
"257",19037,"Chickasaw",2020,"Registered Child Development Homes","Two Year Olds","$137.70",137.7
"258",19037,"Chickasaw",2020,"DHS Licensed Centers/Preschools","Two Year Olds",NA,NA
"259",19037,"Chickasaw",2020,"Registered Child Development Homes","Three Year Olds","$137.25",137.25
"260",19037,"Chickasaw",2020,"DHS Licensed Centers/Preschools","Three Year Olds",NA,NA
"261",19037,"Chickasaw",2020,"Registered Child Development Homes","Four & Five Year Olds","$132.75",132.75
"262",19037,"Chickasaw",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds",NA,NA
"263",19037,"Chickasaw",2020,"Registered Child Development Homes","Before & After School","$61.20",61.2
"264",19037,"Chickasaw",2020,"DHS Licensed Centers/Preschools","Before & After School",NA,NA
"265",19037,"Chickasaw",2020,"Registered Child Development Homes","Full Time School-Age","$132.75",132.75
"266",19037,"Chickasaw",2020,"DHS Licensed Centers/Preschools","Full Time School-Age",NA,NA
"267",19039,"Clarke",2020,"Registered Child Development Homes","Infant (0-12 Months)","$129.55",129.55
"268",19039,"Clarke",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$145.00",145
"269",19039,"Clarke",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$125.45",125.45
"270",19039,"Clarke",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$145.00",145
"271",19039,"Clarke",2020,"Registered Child Development Homes","Two Year Olds","$122.27",122.27
"272",19039,"Clarke",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$135.00",135
"273",19039,"Clarke",2020,"Registered Child Development Homes","Three Year Olds","$120.00",120
"274",19039,"Clarke",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$125.00",125
"275",19039,"Clarke",2020,"Registered Child Development Homes","Four & Five Year Olds","$119.09",119.09
"276",19039,"Clarke",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$120.00",120
"277",19039,"Clarke",2020,"Registered Child Development Homes","Before & After School","$64.44",64.44
"278",19039,"Clarke",2020,"DHS Licensed Centers/Preschools","Before & After School","$105.00",105
"279",19039,"Clarke",2020,"Registered Child Development Homes","Full Time School-Age","$117.50",117.5
"280",19039,"Clarke",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$110.00",110
"281",19041,"Clay",2020,"Registered Child Development Homes","Infant (0-12 Months)","$131.00",131
"282",19041,"Clay",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$229.50",229.5
"283",19041,"Clay",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$130.00",130
"284",19041,"Clay",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$184.50",184.5
"285",19041,"Clay",2020,"Registered Child Development Homes","Two Year Olds","$130.00",130
"286",19041,"Clay",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$180.90",180.9
"287",19041,"Clay",2020,"Registered Child Development Homes","Three Year Olds","$130.00",130
"288",19041,"Clay",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$170.10",170.1
"289",19041,"Clay",2020,"Registered Child Development Homes","Four & Five Year Olds","$130.00",130
"290",19041,"Clay",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$170.10",170.1
"291",19041,"Clay",2020,"Registered Child Development Homes","Before & After School","$57.78",57.78
"292",19041,"Clay",2020,"DHS Licensed Centers/Preschools","Before & After School","$75.60",75.6
